group,source_name,canonical_name,note
1그룹,한화생명,한화생명,
1그룹,젤라또 피케,젤라또피케,
1그룹,PT코퍼레이션,PT코퍼레이션,
1그룹,CJ나눔재단,CJ나눔재단,
1그룹,Qeelin,Qeelin,리소스 현황 시트에서는 '키린'으로 표기(월 매출액 일치로 확인된 별칭)
1그룹,키린,Qeelin,리소스/담당자 현황 시트 표기 - Qeelin의 별칭(코드명)으로 매핑
1그룹,파울라너,파울라너,
1그룹,타이거,타이거,목표 매입/매출이익 셀이 #REF! 오류 - 목표 미확정
1그룹,던롭,던롭,
1그룹,CJ제일제당,CJ제일제당,
1그룹,핀코퍼레이션,핀코퍼레이션,스냅샷 A에만 존재, 스냅샷 B(정본) 광고주별 표에는 없음 - 소액/단기 계약으로 추정
1그룹,신규 광고주,신규광고주_1그룹,실적/목표 없음(#DIV/0!)
2그룹,풀무원요거트 그릭,풀무원요거트_그릭,
2그룹,풀무원요거트 카페,풀무원요거트_카페,
2그룹,풀무원다논 요프로,풀무원다논_요프로,
2그룹,CJ문화재단,CJ문화재단,
2그룹,매일유업 앱솔루트 산양,매일유업_산양,'매일유업'단독 표기와 구분되는 별도 서브라인
2그룹,매일유업 셀렉스 썬화이버,매일유업_셀렉스,
2그룹,네슬레 퓨리나,네슬레_퓨리나,
2그룹,퓨리나 프로플랜/ONE/프리스키/자사몰/SNS,네슬레_퓨리나,리소스 현황 시트의 퓨리나 서브라인 - 매출 트래킹 시트에서는 네슬레 퓨리나로 통합 집계
2그룹,스나이델뷰티,스나이델뷰티,목표만 존재, 실적 없음(신규 광고주 대기)
2그룹,AYROW,AYROW,스냅샷 A의 파이프라인성 항목(매출=매출이익 동일값) - 실제 실적표(스냅샷B)에는 없어 집계 제외
2그룹,신규광고주1,신규광고주1_2그룹,실적/목표 없음(#DIV/0!)
2그룹,신규광고주2,신규광고주2_2그룹,실적/목표 없음(#DIV/0!)
